topic_id,top_words,npmi
94,"test, assessment, scholastic, polairud, perairan, menjalin, kedekatan, polres, kutai, sambang",0.4139
95,"multi, see, user, graphics, computer, you, kursus, muri, uyu, pistol",0.4139
96,"justiceforaffan, arie, ditindas, bubarkandprri, budi, brimobpembunuh, bersama, adilidpr, advokasi, menyejahterakan",0.4139
97,"guru, gaji, manfaat, nabi, berjanji, komitmen, nafaurbach, banyak, anggota, ribu",0.4139
98,"anjing, alipiga, teke, yule, hongo, jamaa, berbentuk, bei, polis, pekanbaru",0.4139
99,"pajak, kena, kroco, damn, kiss, kalian, ok, that, kagak, saatnya",0.4139
100,"aceh, ngobrolmas, polres, here, same, tengah, kuta, ngopi, kediri, iptu",0.4139
101,"watching, are, dewan, anggota, partai, tangis, dapilnya, dor, dibilang, small",0.4139
102,"september, rakyattagihjanji, medis, mahasiswa, grup, mei, aksi, november, longmarch, februari",0.4139
103,"personal, area, network, eko, kuya, uya, nasdem, patrio, fraksi, partai",0.4139
104,"kode, booking, nikmati, staycation, desember, hingga, diskon, hemat, aplikasi, berlaku",0.4139
105,"program, prabowo, kepedulian, istana, presiden, bersama, berkat, meresmikan, imipas, programnya",0.4139
106,"sir, crip, killa, waras, sakti, napi, polrimusuhbersama, penjara, edition, kagak",0.4139
