,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID
37,1.96e+18,3/9/2025 21:05,0,tidak ada demo gabungan polisi dan tni serang dan unisba dan unpas malam hari reformasipolri provokator,1.96e+18,https://pbs.twimg.com/media/Gz82OJ2bQAAGSgA.jpg,,in,0,0,0,https://x.com/undefined/status/1963347590864671093,1.6e+18,ReformasiPolri,38
38,1.96e+18,3/9/2025 20:58,0,ferry irwandi diteror akibat buka jaringan provokator demo dan gagalkan darurat militer provokator copotkapolrilistyosigit reformasipolri dprbebannegara,1.96e+18,https://pbs.twimg.com/media/Gz80m2pbkAEDE5x.jpg,,in,0,1,0,https://x.com/undefined/status/1963345814887309370,1.6e+18,ReformasiPolri,39
39,1.96e+18,3/9/2025 13:02,0,kompol kosmas dipecat lindas ojol saat demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri dalam penegakan etik evaluasi prosedur pengamanan aksi perlu dilakukan reformasipolri,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1963225972720963701,1.93e+18,ReformasiPolri,40
40,1.96e+18,3/9/2025 11:33,890,iko juliant dibunuh polisi acab resetindonesia reformasipolri,1.96e+18,,adolezence,in,1,1,126,https://x.com/undefined/status/1963203724362281359,1.6e+18,ReformasiPolri,41
41,1.96e+18,3/9/2025 10:43,1,yasudah biar kompak resetindonesia perampasanaset reformasipolri terus kalau dukung reset ind man ogi ganti profil pinky dong seperti aku,1.96e+18,,Anak__Ogi,in,0,0,0,https://x.com/undefined/status/1963191084890370242,3466666161.0,ReformasiPolri,42
42,1.96e+18,3/9/2025 9:31,2544,apakah rakyat yang protes turun ke jalan adalah rakyat yang bodoh yang tidak punya kesadaran dan argumentasi atas protes yang disampaikan ordebaru reformasipolri kembalikanmiliterkebarak yaakubakaldibaca,1.96e+18,https://pbs.twimg.com/media/Gz6XYWkaAAAotTD.jpg,,in,97,7,2307,https://x.com/undefined/status/1963172943657042194,1.37e+18,ReformasiPolri,43
43,1.96e+18,3/9/2025 6:41,4,segera reformasi kepolisian republik indonesia reformasipolri polri kepolisian polisi kapolri listyosigitprabowo perspektif radhartribaskoro,1.96e+18,https://pbs.twimg.com/media/Gz5wSbNbgAAatQE.png,,in,2,0,1,https://x.com/undefined/status/1963130123869376844,1.9e+18,ReformasiPolri,44
44,1.96e+18,3/9/2025 4:35,0,hello hi sikapmu bagaimana reformasipolri setuju tidak jangan teriak non-governmental organization swj saja aku tanya ini,1.96e+18,,Graminale,in,0,0,0,https://x.com/undefined/status/1963098576806187255,1.93e+18,ReformasiPolri,45
45,1.96e+18,2/9/2025 18:29,0,seandainya ada tuntutan reformasipolri setuju tidak kamu,1.96e+18,,Graminale,in,0,0,0,https://x.com/undefined/status/1962946099561545808,1.93e+18,ReformasiPolri,46
46,1.96e+18,2/9/2025 17:15,0,kawal terus tindakan represif polri reformasipolri,1.96e+18,,barengwarga,in,0,0,0,https://x.com/undefined/status/1962927347746930936,1.64e+18,ReformasiPolri,47
47,1.96e+18,2/9/2025 14:38,92,wadas tahun lalu video kejadian amplifier artikel beritanya ada di utasan linknya reformasipolri,1.96e+18,https://pbs.twimg.com/media/Gz2UC_lbIAAgk4S.jpg,,in,0,2,30,https://x.com/undefined/status/1962887795569229977,71466821.0,ReformasiPolri,48
48,1.96e+18,2/9/2025 13:03,0,tidak ada urgensinya polisi naik pangkat istimewa reformasipolri,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962864009490870507,402689904.0,ReformasiPolri,49
49,1.96e+18,2/9/2025 12:05,12,keadilan harus ditegakkan tidak ada tawarmenawar bagi reformasipolri hukum berat pelanggar ham,1.96e+18,,,in,0,2,5,https://x.com/undefined/status/1962849428316012997,1.38e+18,ReformasiPolri,50
50,1.96e+18,2/9/2025 10:05,0,turut berdukacita mendalam bagi keluarga yang ditinggalkan reformasipolri,1.96e+18,https://pbs.twimg.com/media/Gz1VpW1aoAQg_IP.jpg,,in,0,0,0,https://x.com/undefined/status/1962819191343632704,88869591.0,ReformasiPolri,51
