conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID
1.96E+18,28/08/2025 15:52,0,Nabrak rakyat bukan cara meredam protes. Itu cara membuat demokrasi pincang. Dan sejarah akan mencatat: siapa yang jadi pelindung siapa yang jadi penindas. #ReformasiDiKorupsi #LawanRepresi,1.96E+18,,AmiraHawisa20,in,0,0,0,https://x.com/undefined/status/1961094556189151503,1.33E+18,ReformasiDikorupsi,35
1.96E+18,28/08/2025 15:41,379,@humaniesproject min stock mylanta campur air ada? boleh dicampur buat ngeredain akibat gas air mata. lebih ampuh dari pada pasta gigi. pengalaman dari aksi reformasidikorupsi,1.96E+18,,humaniesproject,in,0,0,35,https://x.com/undefined/status/1961091720109609000,192231045,ReformasiDikorupsi,36
1.96E+18,4/9/2025 2:55,1,Guyonan Rakyat Sudah Kayak Gini Koq Ga Mempan ya? Memang Sangat Mendesak Pak @prabowo #ReformasiPOLRI #reformasiPolisi https://t.co/5opPwh9etj,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1963435829436551573,3152238055,ReformasiPolri,37
1.96E+18,3/9/2025 21:05,0,Tak ada Demo Gabungan Polisi dan TNI Serang dan Unisba dan Unpas Malam Hari #ReformasiPOLRI #provokator https://t.co/ktAsbEsun2,1.96E+18,https://pbs.twimg.com/media/Gz82OJ2bQAAGSgA.jpg,,in,0,0,0,https://x.com/undefined/status/1963347590864671093,1.60E+18,ReformasiPolri,38
1.96E+18,3/9/2025 20:58,0,Ferry Irwandi Diteror Akibat Buka Jaringan Provokator Demo dan Gagalkan Darurat Militer #provokator #CopotKapolriListyosigit #ReformasiPOLRI #dprbebannegara https://t.co/uqJluTSLKQ,1.96E+18,https://pbs.twimg.com/media/Gz80m2pbkAEDE5x.jpg,,in,0,1,0,https://x.com/undefined/status/1963345814887309370,1.60E+18,ReformasiPolri,39
1.96E+18,3/9/2025 13:02,0,️ Kompol Kosmas Dipecat: Lindas Ojol saat Demo Ricuh Pemecatan buntut tewasnya pengemudi ojol. Mencerminkan ketegasan Polri dalam penegakan etik. Evaluasi prosedur pengamanan aksi perlu dilakukan. #ReformasiPolri,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1963225972720963701,1.93E+18,ReformasiPolri,40
1.96E+18,3/9/2025 11:33,890,IKO JULIANT DIBUNUH POLISI #1312 #ACAB #RESETINDONESIA #ReformasiPOLRI,1.96E+18,,adolezence,in,1,1,126,https://x.com/undefined/status/1963203724362281359,1.60E+18,ReformasiPolri,41
1.96E+18,3/9/2025 10:43,1,@Anak__Ogi Yaudah biar kompak #ResetIndonesia #perampasanaset #ReformasiPOLRI Trus kalo dukung reset Ind mang ogi ganti profil pinky donk ky eyke,1.96E+18,,Anak__Ogi,in,0,0,0,https://x.com/undefined/status/1963191084890370242,3466666161,ReformasiPolri,42
1.96E+18,3/9/2025 9:31,2544,Apakah rakyat yang protes turun ke jalan adalah rakyat yang bodoh? Yang tak punya kesadaran dan argumentasi atas protes yang disampaikan. https://t.co/5B3DLdxtmj #OrdeBaru #ReformasiPolri #KembalikanMiliterKeBarak #YaAkuBakalDibaca https://t.co/bsnsoPYvET,1.96E+18,https://pbs.twimg.com/media/Gz6XYWkaAAAotTD.jpg,,in,97,7,2307,https://x.com/undefined/status/1963172943657042194,1.37E+18,ReformasiPolri,43
1.96E+18,3/9/2025 6:41,4,Segera Reformasi Kepolisian Republik Indonesia @DivHumas_Polri #ReformasiPOLRI #polri #kepolisian #polisi #kapolri #listyosigitprabowo #perspektif #radhartribaskoro https://t.co/6ZxuBP7PMZ https://t.co/DAp6Ex3BSX,1.96E+18,https://pbs.twimg.com/media/Gz5wSbNbgAAatQE.png,,in,2,0,1,https://x.com/undefined/status/1963130123869376844,1.90E+18,ReformasiPolri,44
1.96E+18,3/9/2025 4:35,0,@Graminale Hey sikapmu gimana #reformasiPOLRI setuju nggak? Jangan teriak NGO SWJ aja gw nanya nih,1.96E+18,,Graminale,in,0,0,0,https://x.com/undefined/status/1963098576806187255,1.93E+18,ReformasiPolri,45
1.96E+18,2/9/2025 18:29,0,@Graminale Seandainya ada tuntutan #ReformasiPOLRI setuju nggak lu?,1.96E+18,,Graminale,in,0,0,0,https://x.com/undefined/status/1962946099561545808,1.93E+18,ReformasiPolri,46
1.96E+18,2/9/2025 17:15,0,@barengwarga Kawal terus tindakan represif polri #reformasipolri,1.96E+18,,barengwarga,in,0,0,0,https://x.com/undefined/status/1962927347746930936,1.64E+18,ReformasiPolri,47
1.96E+18,2/9/2025 14:38,92,Wadas 4 tahun lalu. Video kejadian &amp; artikel beritanya ada di utasan linknya. #ReformasiPOLRI https://t.co/0Sm6gwWMHu,1.96E+18,https://pbs.twimg.com/media/Gz2UC_lbIAAgk4S.jpg,,in,0,2,30,https://x.com/undefined/status/1962887795569229977,71466821,ReformasiPolri,48
1.96E+18,2/9/2025 13:03,0,GAK ADA URGENSINYA POLISI NAIK PANGKAT ISTIMEWA!! #ReformasiPOLRI,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962864009490870507,402689904,ReformasiPolri,49
1.96E+18,2/9/2025 12:05,12,Keadilan harus ditegakkan tidak ada tawar-menawar bagi #ReformasiPOLRI . Hukum berat pelanggar HAM.,1.96E+18,,,in,0,2,5,https://x.com/undefined/status/1962849428316012997,1.38E+18,ReformasiPolri,50
1.96E+18,2/9/2025 10:05,0,Turut berdukacita mendalam bagi keluarga yang ditinggalkan #ReformasiPOLRI https://t.co/N6TA1d1sLq,1.96E+18,https://pbs.twimg.com/media/Gz1VpW1aoAQg_IP.jpg,,in,0,0,0,https://x.com/undefined/status/1962819191343632704,88869591,ReformasiPolri,51
1.96E+18,2/9/2025 8:07,286,#MARIPAHAMI Impunitas Melanggengkan Penyiksaan dan Kekerasan Polisi Impunitas dan tidak adanya upaya reformasi Polri berbasis HAM melanggengkan praktik penyiksaan kekerasan serta penggunaan kekuatan berlebih oleh Kepolisian. #MenolakKekerasanMerawatKebebasan #ReformasiPolri https://t.co/OyA68cloWI,1.96E+18,https://pbs.twimg.com/amplify_video_thumb/1962789201445036032/img/HJ4sCHQBzio-rwXS.jpg,,in,5,2,201,https://x.com/undefined/status/1962789356961440205,203158484,ReformasiPolri,52
1.96E+18,2/9/2025 7:42,0,Kalau kita cermati sungguh2 @prabowo sebenarnya tidak melakukan tindakan apapun dlm mengatasi krisis kepercayaan rakyat kpd pemerintah yg sangat akut ini kecuali memanggil sejumlah manula ke Istana dan malah memberi penghargaan pada polisi. #ReformasiPOLRI #ruuperampasanaset,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962783266655834386,183561552,ReformasiPolri,53
1.96E+18,2/9/2025 5:09,0,Berarti kekerasan dan anarkisme polisi selama ini mendapatkan restu negara. Begitu kan Mr. Presiden @prabowo ? #polisipembunuh #ReformasiPOLRI,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962744606594081220,93312464,ReformasiPolri,54
